tract,population,ca,ca_pop,tract_pop_proport
17031150401,1847,15,23644,0.07811706986973439
17031430101,2000,43,24231,0.0825388964549544
17031061200,724,6,42891,0.016879998134806836
17031030900,1271,77,21394,0.059409180143965595
17031300500,755,30,15726,0.04800966552206537
17031841100,2165,34,4289,0.5047796689204943
17031280900,651,28,24753,0.0262998424433402
17031837000,950,27,9266,0.10252536153680121
17031840200,743,60,11308,0.06570569508312699
17031150600,1490,15,23644,0.063018101844019625
17031240800,665,24,35052,0.018971813305945454
17031836100,875,40,5444,0.1607274063188832
17031431400,2973,43,24231,0.12269406958028971
17031720300,1778,72,9657,0.184115149632391
17031740400,1983,74,7650,0.2592156862745098
17031160700,2174,16,19181,0.11334132735519524
17031760802,1038,76,10300,0.10077669902912621
17031832000,643,6,42891,0.014991490056188944
17031640100,420,64,8704,0.04825367647058824
17031270500,656,27,9266,0.07079646017699115
17031110502,1337,11,10726,0.12465038224874138
17031843800,848,61,12807,0.066213789333958
17031640700,1106,64,8704,0.12706801470588236
17031691000,1397,69,15818,0.08831710709318498
17031710100,471,71,24558,0.01917908624480821
17031430102,1446,43,24231,0.059675622136932026
17031380500,217,38,11594,0.01871657754010695
17031650200,2083,65,9939,0.20957842841332125
17031410900,1627,41,11097,0.14661620257727315
17031411000,1578,41,11097,0.14220059475533928
17031260600,1038,26,8398,0.12360085734698738
17031380100,1174,38,11594,0.10125927203726065
17031031501,1583,3,22358,0.07080239735217819
17031410500,1168,41,11097,0.10525367216364784
17031160300,1359,16,19181,0.07085136332829363
17031100400,1351,10,19095,0.07075150562974601
17031242800,585,24,35052,0.016689489900718932
17031530100,877,53,14663,0.059810407147241354
17031301802,790,30,15726,0.0502352791555386
17031671300,1126,67,16129,0.06981213962427925
17031670800,840,67,16129,0.05208010416020832
17031580501,1139,58,10883,0.10465864191858862
17031351400,651,35,8480,0.0767688679245283
17031050200,2334,5,14463,0.16137730761252853
17031050500,2123,5,14463,0.14678835649588606
17031843600,1499,38,11594,0.12929101259272038
17031640400,1321,64,8704,0.15176930147058823
17031832200,1336,22,29254,0.045668968346209066
17031831100,2389,21,12916,0.184964385258594
17031691300,1299,69,15818,0.0821216335819952
17031242300,1505,24,35052,0.04293620906082392
17031330200,1733,33,11108,0.15601368383147282
17031560300,1092,56,13660,0.07994143484626647
17031843200,797,31,10688,0.07456961077844311
17031240900,480,24,35052,0.013693940431359124
17031283200,582,28,24753,0.02351230153920737
17031710500,2177,71,24558,0.0886472839807802
17031680900,1889,68,13284,0.14220114423366456
